model_name,price
"Dell Inspiron 3000 Series 15 3525 (AMD Ryzen3 3000U Series 15.6 Inch)","₹24999"
"Dell Chromebook Series Latitude 5400 (Intel Core i5 8th Gen 14 Inch)","₹15999"
"Dell Latitude 5000 Series 5510 (Intel Core i5 10th Gen 15.6 Inch)","₹27999"
"Dell Inspiron 3000 Series 3585 (AMD Ryzen 5 2500U 15.6 Inch)","₹29999"
"Dell Inspiron 5000 2-in-1 Series 5410 Touch Screen (Intel Core i7 11th Gen 14 Inch)","₹32999"
"Dell Inspiron 3000 Series 3515 (AMD Ryzen3 3000U Series 15.6 Inch)","₹19999"
"Dell Vostro 5000 Series Vostro 5402 (Intel Core i5 11th Gen 14 Inch)","₹29999"
"Dell Inspiron 3000 Series 3505 (Amd Athlon Gold 15.6 Inch)","₹14999"
"Dell Inspiron 5000 Series 5402 (Intel Core i5 11th Gen 14 Inch)","₹27999"
"Dell Inspiron 5000 Series 13 5320 (Intel Core i5 12th Gen 13.3 Inch)","₹35999"
"Dell Latitude E5000 Series E5270 (Intel Core i7 6th Gen 12.5 Inch)","₹18999"
"Dell Inspiron 5000 2-in-1 Series 5410 Touch Screen (Intel Core i3 11th Gen 14 Inch)","₹23999"
"Dell Vostro 3000 Series 3515 (AMD Ryzen5 3000U Series 15.6 Inch)","₹24999"
"Dell Latitude 3000 Series Latitude 3410 (Intel Core i7 10th Gen 14 Inch)","₹30999"
"Dell Inspiron 3000 Series Inspiron 15 3511 (Intel Core i3 10th Gen 15.6 Inch)","₹19999"
"Dell Inspiron 3000 Series 15 3511 (Intel Core i7 11th Gen 15.6 Inch)","₹36999"
"Dell Inspiron 3000 Series Inspiron 3511 (Intel Core i3 11th Gen 15 Inch)","₹22999"
"Dell Vostro 3000 Series 3515 (AMD Ryzen7 3000U Series 15.6 Inch)","₹27999"
"Dell Inspiron 5000 Series 5502 (Intel Core i7 11th Gen 15.6 Inch)","₹29999"
"Dell Latitude 3000 Series 3520 (Intel Core i5 11th Gen 15.6 Inch)","₹27999"
"Dell Latitude 5000 Series 5300 (Intel Core i5 8th Gen 13.3 Inch)","₹20999"
"Dell XPS Series dell xps 13 9360 (Intel Core i7 7th Gen 13.3 Inch)","₹19999"
"Dell Inspiron 3000 Series 3585 (AMD Ryzen 5 2000U 15.6 Inch)","₹24999"
